Combos Taken,Mean Square Error,Absolute Error
"H-Index, Total Cites(3 Years), Ref/Doc",1.2799711821463187,1.0201300363114738
"H-Index, Total Cites(3 Years), Cites/Doc(2 Years)",0.12468609722407961,0.22248049400380024
"H-Index, Total Cites(3 Years), Cites/Doc(2 Years), Ref/Doc",0.11750793609273787,0.21494646024881067
"H-Index, Total Cites(3 Years), Citable Docs(3 Years)",1.8046702885832697,1.2127695222699097
"H-Index, Total Cites(3 Years), Citable Docs(3 Years), Ref/Doc",1.7486213125550256,1.1539999567082089
"H-Index, Total Cites(3 Years), Citable Docs(3 Years), Cites/Doc(2 Years)",0.125643222943242,0.22377093527438854
"H-Index, Total Cites(3 Years), Citable Docs(3 Years), Cites/Doc(2 Years), Ref/Doc",0.11792917681412661,0.2154919640603558
"H-Index, Total Refs",1.3900900914718712,1.0860276136711415
"H-Index, Total Refs, Ref/Doc",1.2712083078405705,0.9931689371130676
"H-Index, Total Refs, Cites/Doc(2 Years)",0.1279757334715641,0.22559229512857368
"H-Index, Total Refs, Cites/Doc(2 Years), Ref/Doc",0.1187416546904997,0.21394384910770362
"H-Index, Total Refs, Citable Docs(3 Years)",1.2719639380840637,1.0133640728007058
"H-Index, Total Refs, Citable Docs(3 Years), Ref/Doc",1.2188271954625316,0.9524836686708991
"H-Index, Total Refs, Citable Docs(3 Years), Cites/Doc(2 Years)",0.12545124639010982,0.22421563396079994
"H-Index, Total Refs, Citable Docs(3 Years), Cites/Doc(2 Years), Ref/Doc",0.11811932512740661,0.21491083885603066
"H-Index, Total Refs, Total Cites(3 Years)",1.49386391169647,1.1501122382567177
"H-Index, Total Refs, Total Cites(3 Years), Ref/Doc",1.3477868385452563,1.0461600468116061
"H-Index, Total Refs, Total Cites(3 Years), Cites/Doc(2 Years)",0.12465762867725667,0.22279016278734812
"H-Index, Total Refs, Total Cites(3 Years), Cites/Doc(2 Years), Ref/Doc",0.11742814571048511,0.2145626744538445
"H-Index, Total Refs, Total Cites(3 Years), Citable Docs(3 Years)",1.8535973358336753,1.2108788978170857
"H-Index, Total Refs, Total Cites(3 Years), Citable Docs(3 Years), Ref/Doc",1.7908601939556155,1.1609365916770615
"H-Index, Total Refs, Total Cites(3 Years), Citable Docs(3 Years), Cites/Doc(2 Years)",0.12535208973278833,0.22354265857002356
"H-Index, Total Refs, Total Cites(3 Years), Citable Docs(3 Years), Cites/Doc(2 Years), Ref/Doc",0.1181562795111854,0.21557399546819866
"H-Index, Total Docs(3 Years)",1.3717340003165635,1.0696391425781766
"H-Index, Total Docs(3 Years), Ref/Doc",1.2667851217576422,0.9836743092113972
"H-Index, Total Docs(3 Years), Cites/Doc(2 Years)",0.1255075220731092,0.22394627580545
"H-Index, Total Docs(3 Years), Cites/Doc(2 Years), Ref/Doc",0.11838766985868313,0.21624836993904312
"H-Index, Total Docs(3 Years), Citable Docs(3 Years)",1.3929808885265123,1.068764343603034
"H-Index, Total Docs(3 Years), Citable Docs(3 Years), Ref/Doc",1.2783955319825986,0.968256016260887
"H-Index, Total Docs(3 Years), Citable Docs(3 Years), Cites/Doc(2 Years)",0.1281909191814371,0.22453974213221511
"H-Index, Total Docs(3 Years), Citable Docs(3 Years), Cites/Doc(2 Years), Ref/Doc",0.12118768993147218,0.21695040731055035
"H-Index, Total Docs(3 Years), Total Cites(3 Years)",1.753351276785175,1.2006535240665839
"H-Index, Total Docs(3 Years), Total Cites(3 Years), Ref/Doc",1.686208030939725,1.1390757961826035
"H-Index, Total Docs(3 Years), Total Cites(3 Years), Cites/Doc(2 Years)",0.1248710920265295,0.22261332779639323
"H-Index, Total Docs(3 Years), Total Cites(3 Years), Cites/Doc(2 Years), Ref/Doc",0.11753130376674228,0.21496727903644836
"H-Index, Total Docs(3 Years), Total Cites(3 Years), Citable Docs(3 Years)",1.7251375526567352,1.1930039778800063
"H-Index, Total Docs(3 Years), Total Cites(3 Years), Citable Docs(3 Years), Ref/Doc",1.64644136969197,1.1217045738844664
"H-Index, Total Docs(3 Years), Total Cites(3 Years), Citable Docs(3 Years), Cites/Doc(2 Years)",0.1276661940064758,0.22551053358953618
"H-Index, Total Docs(3 Years), Total Cites(3 Years), Citable Docs(3 Years), Cites/Doc(2 Years), Ref/Doc",0.12073305824147278,0.21746658820176756
"H-Index, Total Docs(3 Years), Total Refs",1.278265062507207,1.0185375571604633
"H-Index, Total Docs(3 Years), Total Refs, Ref/Doc",1.2232270673433,0.9591910033839517
"H-Index, Total Docs(3 Years), Total Refs, Cites/Doc(2 Years)",0.12541042500000088,0.22447444285229162
"H-Index, Total Docs(3 Years), Total Refs, Cites/Doc(2 Years), Ref/Doc",0.11822250707963361,0.21538757502837005
"H-Index, Total Docs(3 Years), Total Refs, Citable Docs(3 Years)",1.2797196587547093,1.008989190736052
"H-Index, Total Docs(3 Years), Total Refs, Citable Docs(3 Years), Ref/Doc",1.221893603636465,0.9370685780496035
"H-Index, Total Docs(3 Years), Total Refs, Citable Docs(3 Years), Cites/Doc(2 Years)",0.12816878693340306,0.22454714129997694
"H-Index, Total Docs(3 Years), Total Refs, Citable Docs(3 Years), Cites/Doc(2 Years), Ref/Doc",0.12098878149026743,0.21604154044783713
"H-Index, Total Docs(3 Years), Total Refs, Total Cites(3 Years)",1.7838505434989054,1.196413481095549
"H-Index, Total Docs(3 Years), Total Refs, Total Cites(3 Years), Ref/Doc",1.7109268910775686,1.1436096773020998
"H-Index, Total Docs(3 Years), Total Refs, Total Cites(3 Years), Cites/Doc(2 Years)",0.12442689781834786,0.22267682640771752
"H-Index, Total Docs(3 Years), Total Refs, Total Cites(3 Years), Cites/Doc(2 Years), Ref/Doc",0.11757217581920014,0.2145839230462722
"H-Index, Total Docs(3 Years), Total Refs, Total Cites(3 Years), Citable Docs(3 Years)",1.7679739383302722,1.191599634831261
"H-Index, Total Docs(3 Years), Total Refs, Total Cites(3 Years), Citable Docs(3 Years), Ref/Doc",1.6835556838366463,1.1286639758033636
"H-Index, Total Docs(3 Years), Total Refs, Total Cites(3 Years), Citable Docs(3 Years), Cites/Doc(2 Years)",0.12757358324059986,0.22539096252618318
"H-Index, Total Docs(3 Years), Total Refs, Total Cites(3 Years), Citable Docs(3 Years), Cites/Doc(2 Years), Ref/Doc",0.12095517167814629,0.21747720405385013
"H-Index, Total Docs(2017)",1.3996954258768701,1.0902330143250047
"H-Index, Total Docs(2017), Ref/Doc",1.2725054892840835,0.9955780142577263
"H-Index, Total Docs(2017), Cites/Doc(2 Years)",0.1266328204625273,0.22310020209594844
"H-Index, Total Docs(2017), Cites/Doc(2 Years), Ref/Doc",0.11931271350927587,0.2145166209989989
"H-Index, Total Docs(2017), Citable Docs(3 Years)",1.3240490251334633,1.0439342762131592
"H-Index, Total Docs(2017), Citable Docs(3 Years), Ref/Doc",1.2299409269957664,0.9543437495467714
"H-Index, Total Docs(2017), Citable Docs(3 Years), Cites/Doc(2 Years)",0.12605154258424006,0.22266305812443227
"H-Index, Total Docs(2017), Citable Docs(3 Years), Cites/Doc(2 Years), Ref/Doc",0.11858559769874341,0.2146655948298014
"H-Index, Total Docs(2017), Total Cites(3 Years)",1.526870359158267,1.160794347511244
"H-Index, Total Docs(2017), Total Cites(3 Years), Ref/Doc",1.3844940302827073,1.067028169835128
"H-Index, Total Docs(2017), Total Cites(3 Years), Cites/Doc(2 Years)",0.12436981899377299,0.221519452514427
"H-Index, Total Docs(2017), Total Cites(3 Years), Cites/Doc(2 Years), Ref/Doc",0.11737513236793702,0.21403253878574924
"H-Index, Total Docs(2017), Total Cites(3 Years), Citable Docs(3 Years)",1.7035571425086193,1.1829418444699389
"H-Index, Total Docs(2017), Total Cites(3 Years), Citable Docs(3 Years), Ref/Doc",1.6425516105469418,1.1171051294083505
"H-Index, Total Docs(2017), Total Cites(3 Years), Citable Docs(3 Years), Cites/Doc(2 Years)",0.12568689788342569,0.22266591419710574
"H-Index, Total Docs(2017), Total Cites(3 Years), Citable Docs(3 Years), Cites/Doc(2 Years), Ref/Doc",0.11803329649643646,0.21469155362865358
"H-Index, Total Docs(2017), Total Refs",1.3789737204593269,1.0789061920216538
"H-Index, Total Docs(2017), Total Refs, Ref/Doc",1.3016944079060861,1.0012438640177506
